minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,0,Cloacibacillus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Clostridium XIVa,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Coprobacillus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Desulfococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Enterobacter,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Enterococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Eubacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Eubacterium ventriosum group,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Fusobacterium,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Gemmiger,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Haemophilus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Holdemania,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Lachnospira,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Lachnospiraceae UCG-001,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Lactobacillus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Lactococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Leptotrichia,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Megamonas,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Methanobrevibacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
